L,primeradivisionclausurafirststagegroupoccidental,12,Primera Divisi&oacute;n Clausura 1st Stage Occidental, (SLV)
L,primeradivisionclausurafirststagegrouporiental,13,Primera Divisi&oacute;n Clausura 1st Stage Oriental, (SLV)
L,primeradivisionclausurasecondstagegroupa,14,Primera Divisi&oacute;n Clausura 2nd Stage Group A, (SLV)
L,primeradivisionclausurasecondstagegroupb,14,Primera Divisi&oacute;n Clausura 2nd Stage Group B, (SLV)
L,primeradivisionclausurafinalstage,12,Primera Divisi&oacute;n - Clausura Finals,
N,ENG,England,20,england
C,communityshield,1,FA Community Shield,
L,premierleague,10,Premier League,
L,wsl,10,Women's Super League,
L,championship,20,Championship,
C,championshipplayoff,21,Championship Playoff,
L,league1~leagueone,30,League One,
C,league1playoff,31,League One Playoff,
L,league2~leaguetwo,40,League Two,
C,league2playoff,41,League Two Playoff,
L,nationalleague,50,National League,
C,nationalleagueplayoff,51,National League Playoff,
L,nationalleaguenorth,60,National League North,
C,nationalleaguenorthplayoff,61,National League North Playoff,
L,nationalleaguesouth,65,National League South,
C,nationalleaguesouthplayoff,66,National League South Playoff,
L,premierleagueu18,67,Premier League Under-18s,
C,eflcup,70,EFL Cup,
L,efltrophynortherngrpa,71,EFL Trophy Northern Group A,
L,efltrophynortherngrpb,72,EFL Trophy Northern Group B,
L,efltrophynortherngrpc,73,EFL Trophy Northern Group C,
L,efltrophynortherngrpd,74,EFL Trophy Northern Group D,
L,efltrophynortherngrpe,75,EFL Trophy Northern Group E,
L,efltrophynortherngrpf,76,EFL Trophy Northern Group F,
L,efltrophynortherngrpg,77,EFL Trophy Northern Group G,
L,efltrophynortherngrph,78,EFL Trophy Northern Group H,
L,efltrophysoutherngrpa,79,EFL Trophy Southern Group A,
L,efltrophysoutherngrpb,80,EFL Trophy Southern Group B,
L,efltrophysoutherngrpc,81,EFL Trophy Southern Group C,
L,efltrophysoutherngrpd,82,EFL Trophy Southern Group D,
L,efltrophysoutherngrpe,83,EFL Trophy Southern Group E,
L,efltrophysoutherngrpf,84,EFL Trophy Southern Group F,
L,efltrophysoutherngrpg,85,EFL Trophy Southern Group G,
L,efltrophysoutherngrph,86,EFL Trophy Southern Group H,
C,efltrophyfinalstage,87,EFL Trophy Finals,
L,isthmianpremierdivision,90,Isthmian League,
L,northernpremierdivision,90,Northern Premier Division,
L,premierleague2division1,90,Premier League 2 Division 1,
L,premierleague2division2,90,Premier League 2 Division 2,
L,southernpremierdivisioncentral,90,Southern Premier Division Central,
L,southernpremierdivisionsouth,90,Southern Premier Divison South,
L,footballsstayinghomecup,99,Football's Staying Home Cup,
C,facup,100,The FA Cup,
C,womensfacup,100,The Women's FA Cup,
C,fatrophy,101,The FA Trophy,
			N,EST,Estonia,460,estonia
			C,supercup,1,Eesti Superkarikas,
			L,meistriliiga,10,Meistriliiga,
			L,meistriliigaqualification,11,Meistriliiga Qualification,
N,FRO,Faroe Islands,900,faroeislands
L,premierleague,10,Faroese Premier League,
C,premierleaguequalification,11,Premier League Qualification,
N,FIN,Finland,320,finland
			L,veikkausliiga,10,Veikkausliiga,
L,veikkausliigachampionshipgroup,11,Veikkausliiga Championship Group,
L,veikkausliigarelegationgroup,12,Veikkausliiga Relegation Group,
L,veikkausliigaeuropaleagueplayoff,12,Veikkausliiga UEL Qualifiers,
			C,veikkausligaqualification~veikkausliigaqualification,11,Veikkausliga Qualification,
			L,ykkonen,20,Ykkonen,
			C,cupgrpa,101,Suomen Cup Group A,
			C,cupgrpb,102,Suomen Cup Group B,
			C,cupgrpc,103,Suomen Cup Group C,
			C,cupgrpd,104,Suomen Cup Group D,
			C,cupgrpe,105,Suomen Cup Group E,
			C,cupgrpf,106,Suomen Cup Group F,
			C,cupfinalstage,107,Suomen Cup Finals,
N,FRA,France,70,france
C,supercup,1,Troph&eacute;e des Champions,
L,ligue1,10,Ligue 1,
L,division1,11,Division 1 F&eacute;menine,
C,ligue1qualification,11,Ligue 1 Qualification,
L,ligue2,20,Ligue 2,
C,ligue2qualification,21,Ligue 2 Qualification,
L,national,30,National,
C,leaguecupqualification,50,League Cup Qualification,
C,leaguecup,50,Coupe de la Ligue,
C,coupedefrance,100,Coupe de France,
N,GEO,Georgia,870,georgia
L,erovnuliligaqualification,10,Erovnuli Liga,
C,erovnuliligaqualification,11,Erovnuli Liga Qualification,
N,GER,Germany,50,germany
C,supercup,1,DFL-Supercup,
L,1bundesliga,10,1. Bundesliga,
L,bundesliga,11,Frauen-Bundesliga,
C,1bundesligaqualification,11,1. Bundesliga Qualification,
L,2bundesliga,20,2. Bundesliga,
C,2bundesligaqualification,21,2. Bundesliga Qualification,
L,3liga,30,3. Liga,
C,regionalligapromotionplayoff,31,Regionalliga Promotion Playoff,
L,regionalliganortheast,41,Regionalliga Nordost,
L,regionalliganortheastqualification,42,Regionalliga Nordost Qualification,
L,regionalliganorth,43,Regionalliga Nord,
L,regionalliganorthgroupsouth,43,Regionalliga North (Southern Group),
L,regionalliganorthgroupnorth,43,Regionalliga North (Northern Group),
L,regionalliganorthqualification,44,Regionalliga Nord Qualification,
L,regionalligasouthwest,45,Regionalliga S&uuml;dwest,
L,regionalligasouthwestqualification,46,Regionalliga S&uuml;dwest Qualification,
L,regionalligawest,47,Regionalliga West,
L,regionalligawestqualification,48,Regionalliga West Qualification,
L,regionalligabayern,49,Regionalliga Bayern,
C,regionalligabayernqualification,50,Regionalliga Bayern Qualification,
C,dfbpokal,100,DFB Pokal,
C,telekomcupsummer,120,Telekom Cup (Summer),
			N,GHA,Ghana,930,ghana
			L,premierleague,10,Ghana Premier League,
N,GRE,Greece,370,greece
L,superleague,10,Super League,
